HR,Name,B-V,Vmag,x,y,z
209,,0.64,5.8,0.6615163166749051,-0.7378862527640104,-0.13386575646801388
210,,0.98,5.5,0.9050303181759801,-0.3830372527435787,-0.1849394122217757
211,57    Psc,1.65,5.38,0.9439331046792984,0.2668272322896109,-0.19440556061791778
212,,1.01,5.87,0.29124294446522125,0.9546309543537911,-0.0621070711658348
213,58    Psc,0.97,5.5,0.9577219093023035,0.20746590306446294,-0.19931543720444062
214,59    Psc,0.27,6.13,0.9222478195504079,0.33510443800784795,-0.19277960203808547
215,34Zet And,1.12,4.06,0.8922605554026761,0.4109928955767529,-0.1869650797821457
216,60    Psc,0.94,5.99,0.9719290608426182,0.11737851640676342,-0.20390238982349673
217,61    Psc,0.5,6.54,0.9137092016955319,0.3571501173386748,-0.19385378103582201
218,,1.3,5.7,0.9301886304622516,-0.3100358151227958,-0.19653728679287347
219,24Eta Cas,0.57,3.44,0.5204653754725374,0.8463403908696581,-0.11324193444490896
220,,-0.06,5.57,0.9086712456921928,-0.3701115982622709,-0.19322000953303442
221,62    Psc,1.1,5.93,0.9699574410731892,0.12706460860135046,-0.20745396536999822
222,,0.88,5.75,0.9736486901885826,0.09203266346439985,-0.20865813415658185
223,25Nu  Cas,-0.11,4.89,0.6155071465435262,0.7767980252054524,-0.13317575076099863
224,63Del Psc,1.5,4.43,0.9689701421763571,0.13199688610611685,-0.20898250077223973
225,64    Psc,0.51,5.07,0.9348458655637634,0.2913793801389323,-0.20288239072967823
226,35Nu  And,-0.15,4.53,0.736069997213772,0.6570975444171742,-0.1625539182014309
227,,1.3,5.59,0.9495995197338643,-0.23448706397281538,-0.20803021162952076
228,,0.95,5.9,0.8916001629744832,-0.4089101243824176,-0.19452932828093317
229,,0.9,6.27,0.6702655147153048,-0.7277461575802083,-0.145360482630838
230,65    Psc,0.36,7.0,0.8644206493920373,0.4650094452822589,-0.1911626446326124
231,65    Psc,0.42,7.1,0.8644194907526708,0.4650008610939103,-0.19118876323888712
232,,0.13,6.28,0.8966420682162478,-0.39653378459740696,-0.1969618216247681
233,,0.49,5.39,0.42388523695797403,0.9006792822147893,-0.09538415213301461
234,,0.01,6.15,0.6901144725213391,0.7071342058580181,-0.15395853247593685
235,19Phi2Cet,0.5,5.19,0.9593785472868316,-0.1847137600011226,-0.21324546858504762
236,Lam Hyi,1.37,5.07,0.2542871837010142,-0.9655786395816134,-0.05473498871039853
237,,1.88,6.07,0.46068655778155027,0.8813515583032777,-0.10482044722176294
238,,0.28,6.39,0.6070835072170394,0.7826956721647639,-0.13724831525234568
239,,0.29,6.48,0.7093713942391372,-0.6870205797547562,-0.15746411663823978
240,,0.09,5.62,0.10648091153806247,0.9939747797394017,-0.025999090753929525
241,,-0.18,6.21,0.605879045817231,0.7833801711427556,-0.1386581742990605
242,Rho Phe,0.36,5.22,0.6141648761488523,-0.777002542809373,-0.13808893283979515
243,,1.07,6.37,0.9733466035366756,0.05904503297072239,-0.2216079273516724
244,,0.53,4.82,0.4700245532022747,0.8756682917819812,-0.11082401434088651
245,,0.35,6.9,0.70442313786314,-0.6909980686742384,-0.16220268780609032
246,,0.02,6.69,0.761346124428247,0.6231783960051727,-0.1788875780218081
247,,1.24,5.46,0.8894803912412469,-0.40682964982823244,-0.20812080534621238
248,20    Cet,1.57,4.77,0.9731768498996157,-0.019968148313614317,-0.22919007804088348
249,,1.14,6.06,0.7727054310253282,0.6076261525607752,-0.18362128304788408
250,,0.19,6.27,0.5895184909950052,0.7953588879642485,-0.1409687487042642
251,,0.44,6.46,0.8835879740770081,-0.41908676305574427,-0.20889848514995707
252,Lam1Tuc,0.56,6.22,0.3410210734806751,-0.9366993520830749,-0.07936593254813916
253,26Ups1Cas,1.21,4.83,0.5006727862919675,0.856922500409417,-0.12251771038797012
254,66    Psc,-0.01,5.74,0.9177808850688428,0.32867434435675674,-0.22282599122164257
255,21    Cet,0.92,6.16,0.9607805509352157,-0.1519652577535797,-0.2319639915601375
256,,1.68,6.27,0.6413003628529506,0.751017698226587,-0.15718225585323875
257,,1.56,5.7,0.4435608693300929,-0.8899852135940283,-0.10573587273543518
258,36    And,1.0,5.47,0.8899409210345802,0.4008021340796455,-0.21762997584277038
259,,1.62,6.2,0.883251277224345,0.41559741912630216,-0.2171312195358371
260,,1.37,6.21,0.5141057655324756,0.8480172652681734,-0.1286933551251021
261,,0.38,6.37,0.350902938207769,0.9321729445193302,-0.08899848011801306
262,67    Psc,0.14,6.09,0.8629472499878518,0.4572445292649298,-0.21505693245207586
263,,1.52,5.85,0.9626353051069817,-0.12788206814587477,-0.23870367824631852
264,27Gam Cas,-0.15,2.47,0.4742315517546814,0.8722115911193701,-0.11979722716892809
265,28Ups2Cas,0.96,4.63,0.49674692682585847,0.8587910433932963,-0.12538115678409886
266,,-0.07,5.55,0.47940509136887255,0.8691738565466078,-0.12127475197047338
267,22Phi3Cet,1.52,5.31,0.9515707752561664,-0.1953756126315306,-0.23736349691397912
268,,1.67,6.1,0.8585681294988622,-0.4660092037821131,-0.21376666952353887
269,37Mu  And,0.13,3.87,0.7587407658431875,0.6225070482255282,-0.1918265496672272
270,Lam2Tuc,1.09,5.45,0.33974144651103794,-0.9368367774380795,-0.08314205892339831
271,38Eta And,0.94,4.42,0.8891944914212716,0.39742818430465365,-0.22668038015314063
272,,1.02,6.12,0.674734167212588,0.7173937684302554,-0.1734358227511619
273,,-0.02,5.97,0.3881085003078309,0.916028568138503,-0.10130870812980668
274,68    Psc,1.08,5.42,0.8469805771664578,0.4846908880518525,-0.21840019446484174
275,,1.0,5.98,0.802880139770309,0.5584812837710744,-0.2085237081001144
276,,0.89,6.32,0.9407168823890363,0.23676749239363531,-0.24288454404074747
277,,0.09,6.37,0.9010508369446844,0.364949005415376,-0.23434933899546587
278,,0.13,6.39,0.31455384664079633,0.9454222519169971,-0.08504494778452429
279,23Phi4Cet,0.97,5.61,0.9483255064160174,-0.19731514915291054,-0.24848634931434085
280,Alp Scl,-0.16,4.31,0.8432352831084489,-0.49025738276960334,-0.22045851301528993
281,,0.1,6.23,0.4736474253368523,-0.8720384269900756,-0.12331706420623843
282,,0.0,6.84,0.6864022986288931,0.70353253170711,-0.184102855129289
283,,-0.01,6.04,0.6863732654141503,0.7035600943116599,-0.18410576910266688
284,,1.67,6.11,0.95994136737327,0.11290937351224772,-0.25644501277780457
285,,1.21,4.25,0.06236728954932758,0.9978668429921356,-0.01928950106091248
286,,0.11,6.46,0.015760743630199456,0.9998523965596284,-0.0068398870013060414
287,,0.0,6.47,0.605749304878308,0.7775302463851771,-0.16886235695279286
288,Xi  Scl,1.18,5.59,0.7503898367184462,-0.6281894128336812,-0.20565299548836732
289,,0.25,6.45,0.6517380952078458,0.7358148066385622,-0.18388590371832247
290,39    And,0.16,5.98,0.7226433831039588,0.6605915058098608,-0.20348317696538365
291,69Sig Psc,-0.05,5.5,0.8181269284594621,0.5270217202480351,-0.23003572617375725
292,,0.49,5.92,0.46515032957472796,0.8752535719485478,-0.13253812918488841
293,Sig Scl,0.08,5.5,0.8207344943871359,-0.5232713548056892,-0.22930760773012085
294,71Eps Psc,0.96,4.28,0.953410543594822,0.13727166743056748,-0.26863511438949617
295,Ome Phe,0.94,6.11,0.5247764411803266,-0.838694331508051,-0.14560736615423975
296,25    Cet,1.11,5.43,0.9589768770083793,-0.08431553580413151,-0.2706552046152411
297,,0.54,5.84,0.4573029207723137,0.8794848024791294,-0.13183520342214233
298,,1.47,5.99,0.5851201713336892,0.7933769505640602,-0.1678910343410477
299,,0.9,5.36,0.6639051732033443,-0.7241417704190558,-0.1866778436992267
300,,0.93,6.29,0.8371616387836726,-0.49281593316222927,-0.23726113581974792
301,26    Cet,0.27,6.04,0.9612083741444284,0.023850571299632115,-0.2747901230453994
302,,-0.08,6.54,0.6042174528864289,0.7772557867485409,-0.17548422035426073
303,,0.43,6.19,0.8348435843099028,0.49483106379775893,-0.24120200670262332
